1,1,1,7,0,301,0
2,2,0,0,0,301,0
3,2,0,0,0,301,0
4,3,1,23,0,301,0
5,4,0,0,0,301,0
6,6,0,0,0,301,0
7,8,1,0,0,301,0
8,9,1,2,0,301,0
9,10,0,0,0,301,0
10,11,1,35,0,301,0
11,12,0,7,0,301,0
12,12,0,1,0,301,0
13,13,0,0,0,301,0
14,14,1,1,0,301,0
15,14,0,0,0,301,0
16,15,1,0,0,301,0
17,16,1,0,0,301,0
18,17,0,0,0,301,0
19,17,1,6,0,301,0
20,18,1,0,0,301,0
21,19,0,0,0,301,0
22,20,1,0,0,301,0
23,21,1,0,0,301,0
24,22,0,0,0,301,0
25,22,0,0,0,301,0
26,23,0,0,0,301,0
27,24,1,7,0,301,0
28,25,1,43,0,301,0
29,26,1,0,0,301,0
30,27,0,0,0,301,0
31,27,0,0,0,301,0
32,28,1,0,0,301,0
33,29,1,0,0,301,0
34,30,1,16,0,301,0
35,30,0,0,0,301,0
36,31,2,32,0,301,0
37,32,0,0,0,301,0
38,32,0,0,0,301,0
39,33,1,1,0,301,0
40,34,0,0,0,301,0
41,35,0,0,0,301,0
42,35,0,0,0,301,0
43,36,0,0,0,301,0
44,37,0,0,0,301,0
45,38,0,0,0,301,0
46,39,1,10,0,301,0
47,39,0,0,0,301,0
48,40,0,0,0,301,0
49,41,0,0,0,301,0
50,42,1,1,0,301,0
51,43,1,2,0,301,0
52,43,0,0,0,301,0
53,44,2,11,0,301,0
54,45,0,0,0,301,0
55,46,0,0,0,301,0
56,47,0,8,0,301,0
57,48,1,11,0,301,0
58,48,1,0,0,301,0
59,49,0,0,0,301,0
60,50,0,0,0,301,0
61,51,0,0,0,301,0
62,52,1,0,0,301,0
63,52,0,0,0,301,0
64,53,1,5,0,301,0
65,54,0,0,0,301,0
66,55,0,0,0,301,0
67,56,0,0,0,301,0
68,56,2,48,0,301,0
69,57,1,1,0,301,0
70,58,0,0,0,301,0
71,59,0,0,0,301,0
72,60,0,39,0,301,0
73,61,0,0,0,301,0
74,61,0,0,0,301,0
75,62,1,0,0,301,0
76,63,0,15,0,301,0
77,64,2,0,0,301,0
78,65,1,16,0,301,0
79,65,1,0,0,301,0
80,66,1,44,0,301,0
81,67,0,0,0,301,0
82,68,2,0,0,301,0
83,69,1,39,0,301,0
84,69,0,0,0,301,0
85,70,1,35,0,301,0
86,71,1,3,0,301,0
87,72,0,0,0,301,0
88,73,0,0,0,301,0
89,74,1,0,0,301,0
90,74,0,0,0,301,0
91,75,1,3,0,301,0
92,76,0,0,0,301,0
93,77,2,26,0,301,0
94,78,1,0,0,301,0
95,79,2,0,0,301,0
96,80,0,0,0,301,0
97,80,1,1,0,301,0
98,81,0,20,0,301,0
99,82,1,42,0,301,0
100,83,1,110,0,301,1
101,84,1,61,0,301,0
102,85,2,0,0,301,0
103,86,0,0,0,301,0
104,87,0,3,0,301,0
105,88,1,0,0,301,0
106,88,0,25,0,301,0
107,89,1,0,0,301,0
108,90,0,0,0,301,0
109,91,0,0,0,301,0
110,92,1,0,0,301,0
111,93,0,0,0,301,0
112,94,2,47,0,301,0
113,95,0,0,0,301,0
114,96,0,48,0,301,0
115,97,2,11,0,301,0
116,101,0,39,0,301,0
117,102,2,29,0,301,0
118,104,1,34,0,301,0
119,106,1,0,0,301,0
120,107,0,0,0,301,0
121,108,0,0,0,301,0
122,109,1,1,0,301,0
123,109,0,0,0,301,0
124,110,0,20,0,301,0
125,111,1,0,0,301,0
126,112,1,0,0,301,0
127,112,0,0,0,301,0
128,113,1,0,0,301,0
129,114,1,18,0,301,0
130,115,0,0,0,301,0
131,115,1,39,0,301,0
132,116,0,0,0,301,0
133,117,1,0,0,301,0
134,118,1,16,0,301,0
